0,,ACRI-ST S.A.S.,"ROUTE DU PIN MONTARD 260, 06904 SOPHIA ANTIPOLISCEDEX, France",PREPARATION AND OPERATIONS OF THE MISSION PERFORMANCE CENTRE (MPC) FOR THESENTINEL-3 MISSION,"1,354,940.00",,
1,,Airbus Def&Space GmbH,"Claude-Dornier-Strasse, 88090 Immenstaad, Germany",Sentinel 2 Satellites C/D Units construction,"2,103,804.00",,
2,,Airbus Def&Space GmbH,"Claude-Dornier-Strasse, 88090 Immenstaad, Germany",Sentinel-1 Satellites C/D Units Construction,"656,708.00",,
3,,Airbus Def&Space GmbH,"Claude-Dornier-Strasse, 88090 Immenstaad, Germany",SENTINEL-5 PHASE B2,"3,109,000.00",,
4,,Airbus Def&Space GmbH,"Claude-Dornier-Strasse, 88090 Immenstaad, Germany",SENTINEL-6 A/B - PRIME,"1,119,222.00",,
5,,AIRBUS DEFENCE & SPACE NETHERLANDS B.V.,"MENDELWEG 30, 2333 CS LEIDEN, Netherlands",Sentinel 2 Satellites C/D Units construction,"28,266.00",,
6,,AIRBUS DEFENCE & SPACE NETHERLANDS B.V.,"MENDELWEG 30, 2333 CS LEIDEN, Netherlands",Sentinel-1 Satellites C/D Units Construction,"26,762.00",,
7,,Airbus Defence and Space GmbH,"Willy-Messerschmitt-Str. 1, 82024 Taufkirchen, Germany",COPERNICUS DIGITAL ELEVATION MODEL (DEM),"10,000,000.00",,
8,,AIRBUS DEFENCE AND SPACE LIMITED,"GUNNELS WOOD ROAD, SG1 2AS STEVENAGE, UnitedKingdom","HOSTING, OPERATION, MAINTENANCE, EVOLUTION AND CONTENTMANAGEMENT OF AGENCYSCOPERNICUS SENTINELS WORLD WIDEWEB SITES","504,755.00",,
9,,AIRBUS DEFENCE AND SPACE LIMITED,"GUNNELS WOOD ROAD, SG1 2AS STEVENAGE, UnitedKingdom",Sentinel-1 Satellites C/D Units Construction,"119,340.00",,
10,,AIRBUS DEFENCE AND SPACE LIMITED,"GUNNELS WOOD ROAD, SG1 2AS STEVENAGE, UnitedKingdom",SENTINEL-6 A/B - MPPS,"39,055.00",,
11,,AIRBUS DEFENCE AND SPACE SAS,"Rue des Cosmonautes 31, 31402 Toulouse, France",Sentinel 2 Satellites C/D Units construction,"241,277.00",,
12,,AIRBUS DEFENCE AND SPACE SAS,"Rue des Cosmonautes 31, 31402 Toulouse, France","SENTINEL-1 PAYLOAD DATA GROUND SEGMENT SYSTEM OPERATIONS, MAINTENANCE ANDEVOLUTIONS","4,583,949.00",,
13,,"AIRBUS DEFENCE AND SPACE, S.A.U","AVENIDA DE ARAGÓN 404, 28022 MADRID, Spain",Sentinel 2 Satellites C/D Units construction,"68,387.00",,
14,,"AIRBUS DEFENCE AND SPACE, S.A.U","AVENIDA DE ARAGÓN 404, 28022 MADRID, Spain",Sentinel-3 Satellites C/D Units construction,"50,000.00",,
15,,"AIRBUS DEFENCE AND SPACE, S.A.U","AVENIDA DE ARAGÓN 404, 28022 MADRID, Spain",SENTINEL-6 A/B - HARNESS,"28,271.00",,
16,,AIRBUS DS GEO SA,"RUE DES SATELLITES 5, 31030 TOULOUSE CEDEX  4, France",COPERNICUS SPACE COMPONENT DATA ACCESS (CSC DA)  DATA WAREHOUSE,"5,500,000.00",,
17,,ALIA SPACE SYSTEMS SRL,"VIA LUNATI 10, 00044 FRASCATI, Italy",COPERNICUS DATA ACQUISITION CAPACITY ANALYSIS,"389,796.00",,
18,,ALMATECH SA,"EPFL INNOVATION PARK BUILDING D Building D, 1015LAUSANNE, Switzerland",SENTINEL-5 IOMSR ACTIVITY,"1,222,225.00",,
19,,ARESYS SRL,"VIA FLUMENDOSA 16, 20132 MILANO, Italy",SENTINEL-1 RADIO FREQUENCY INTERFERENCES GLOBAL MAPPING,"120,000.00",,
20,,ARIANESPACE,"BOULEVARD DE L'EUROPE,BP 177 300, 91006 EVRY-COURCOURONNES CEDEX, France",VEGA-C LAUNCHER COMPATIBILITY STUDY FOR SENTINEL-1C,"1,282,440.00",,
21,,ARIANESPACE,"BOULEVARD DE L'EUROPE,BP 177 300, 91006 EVRY-COURCOURONNES CEDEX, France",VEGA-C LAUNCHER COMPATIBILITY STUDY FOR SENTINEL-2C,"1,059,240.00",,
22,,ARIANESPACE,"BOULEVARD DE L'EUROPE,BP 177 300, 91006 EVRY-COURCOURONNES CEDEX, France",VEGA-C LAUNCHER COMPATIBILITY STUDY FOR SENTINEL-3C,"1,055,240.00",,
23,,ATOS IT SOLUTIONS & SERVICES GMBH,"Siemensstraße  92, 1210 Wien, Austria",SENTINEL-5 EGSE ACTIVITY,"164,065.00",,
24,,ATOS IT SOLUTIONS & SERVICES GMBH,"Siemensstraße  92, 1210 Wien, Austria",SENTINEL-6 A/B - EGSE,"53,428.00",,
25,,C-CORE,"CAPTAIN ROBERT A. BARTLETT BUILDING 1, A1B 3X5STJOHNS, Canada",SENTINEL-1 TRANSPONDER REFURBISHMENT,"248,500.00",,
26,,CLS COLLECTE LOCALISATION SATELLITES,"PARC TECHNOLOGIQUE DU CANAL, RUE HERMES 11, 31520RAMONVILLE SAINT-AGNE, France",MISSION PERFORMANCE CENTERS (MPC) FOR SENTINEL 1,"3,360,448.00",,
27,,CLS COLLECTE LOCALISATION SATELLITES,"PARC TECHNOLOGIQUE DU CANAL, RUE HERMES 11, 31520RAMONVILLE SAINT-AGNE, France",OFF-LINE PROCESSING AND ARCHIVING CENTRES (PACS),"267,614.00",,
28,,CLS COLLECTE LOCALISATION SATELLITES,"PARC TECHNOLOGIQUE DU CANAL, RUE HERMES 11, 31520RAMONVILLE SAINT-AGNE, France",Sentinel-3 Satellites C/D Units construction,"399,960.00",,
29,,COM DEV EUROPE LIMITED (T/A HONEYWELL),"TRIANGLE BUSINESS PARK 10, HP22 5SX AYLESBURY,United Kingdom",Sentinel-1 Satellites C/D Units Construction,"1,140,000.00",,
30,,CRISA SA COMPUTADORAS REDES E INGENIERIA,"C/.TORRES QUEVEDO, 9, 28760 MADRID, Spain",SENTINEL-5 ICS ACTIVITY,"650,001.00",,
31,,CRISA SA COMPUTADORAS REDES E INGENIERIA,"C/.TORRES QUEVEDO, 9, 28760 MADRID, Spain",SENTINEL-5 UVN FEE ACTIVITY,"37,266.00",,
32,,CRISA SA COMPUTADORAS REDES E INGENIERIA,"C/.TORRES QUEVEDO, 9, 28760 MADRID, Spain",SENTINEL-6 A/B - PCDU,"280,815.00",,
33,,CS SYSTEMES D INFORMATION,"ZAC DE LA GRANDE PLAINE 5, 31506 F-31506 TOULOUSECEDEX 5, France",PREPARATION AND OPERATIONS OF THE MISSION PERFORMANCE CENTRE (MPC) FOR THESENTINEL-2 MISSION,"1,809,849.00",,
34,,DLR - GERMAN AEROSPACE CENTER,"Linder Höhe 1, 51147 Cologne, Germany",OFF-LINE PROCESSING AND ARCHIVING CENTRES (PACS),"2,494,747.99",,
35,,DLR - GERMAN AEROSPACE CENTER,"Linder Höhe 1, 51147 Cologne, Germany",SENTINEL-1 AUXILIARY PRODUCT FOR PRECISE ATMOSPHERIC AND GEODETIC CORRECTION,"599,906.00",,
36,,DLR - GERMAN AEROSPACE CENTER,"Linder Höhe 1, 51147 Cologne, Germany",SENTINEL-5 PRECURSOR PAYLOAD DATA GROUND SEGMENT UPGRADE TO OPERATIONS,"837,225.00",,
37,,DTM SRL,"VIA TACITO 65, 41123 MODENA, Italy",SENTINEL-5 MGSE ACTIVITY,"78,569.00",,
38,,E-GEOS,"VIA TIBURTINA  965, 00156 ROMA, Italy",PREPARATION AND OPERATION OF THE CORE X-BAND ACQUISITION AND NEAR REAL-TIMEFACILITIES - MATERA GROUND STATION,"217,765.00",,
39,,EJR QUARTZ B.V,"Legewerfsteeg 8, 2312 GW LEIDEN, Netherlands",SENTINEL USER HANDBOOK  TECHNICAL EDITORIAL SERVICE,"102,119.00",,
40,,EUROPEAN SPACE IMAGING GMBH,"ARNULFSTRASSE 199, 80634 MUNICH, Germany",COPERNICUS SPACE COMPONENT DATA ACCESS (CSC DA)  DATA WAREHOUSE,"5,500,000.00",,
41,,EXPRIVIA SPA,"Via Adriano Olivetti 11, 70056 Molfetta, Italy",COPERNICUS SPACE COMPONENT WORLDWIDE SENTINELS DATA ACCESS BENCHMARK,"999,110.00",,
42,,GAEL SYSTEMS,,COPERNICUS LONG TERM ARCHIVE DATA BRIDGE SERVICE,"2,000,000.00",,
0,,"GMV AEROSPACE AND DEFENCE, SA","ISAAC NEWTON / PTM 11, 28760 MADRID / TRES CANTOS,Spain","SENTINEL 1, 2, 3 PRECISE ORBIT DETERMINATION SERVICE","829,576.00",
1,,"GMV AEROSPACE AND DEFENCE, SA","ISAAC NEWTON / PTM 11, 28760 MADRID / TRES CANTOS,Spain",SENTINEL-1 OPERATIONAL SIMULATOR DEVELOPMENT AND MAINTENANCE,"227,000.00",
2,,IABG MBH,"EINSTEINSTRASSE 20, 85521 OTTOBRUNN, Germany",SENTINEL-5 ITF ACTIVITY,"176,800.00",
3,,INDRA SISTEMAS,"Avenida de Bruselas  33-35, 28108 Alcobendas - Madrid, Spain",OFF-LINE PROCESSING AND ARCHIVING CENTRES (PACS),"444,760.00",
4,,INTA. INSTITUTO NACIONAL DE TECNICA AEROESPACIAL,"CARRETERA DE AJALVIR KM4 Km4, 28850 TORREJON DEARDOZ MADRID, Spain",ACQUISITION AND NEAR REAL-TIME (NRT) STATIONS,"263,602.50",
5,,JENA-OPTRONIK GMBH,"Otto-Eppenstein-Strasse 3, 07745 JENA, Germany",SENTINEL- 5 NIR SO ACTIVITY,"183,156.00",
6,,KONGSBERG SATELLITE SERVICES AS,"PRESTVANNVEIEN 38, 9291 TROMSO, Norway",PREPARATION AND OPERATION OF THE CORE X-BAND ACQUISITION AND NEAR REAL-TIMEFACILITIES - SVALBARD GROUND STATION,"408,367.00",
7,,Leonardo S.p.a.,"Piazza Monte Grappa 4, 00195 Rome, Italy",SENTINEL-3 IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT.,"235,549.00",
8,,Leonardo S.p.a.,"Piazza Monte Grappa 4, 00195 Rome, Italy",Sentinel-3 Satellites C/D Units construction,"50,000.00",
9,,Leonardo S.p.a.,"Piazza Monte Grappa 4, 00195 Rome, Italy",SENTINEL-5 SWIR SS ACTIVITY,"45,378.00",
10,,LSE Space GMBH,"ARGELSRIEDERFELD 22, 82234 WESSLING, Germany",COPERNICUS OPERATIONS SERVICE SUPPORT,"408,198.97",
11,,LUSOSPACE - PROJ DE ENGENHARIA,"RUA SARMENTO BEIRES 31A, 1900-411 LISBOA, Portugal",SENTINEL-5 OGSE ACTIVITY,"2,220,185.00",
12,,MICOS ENGINEERING GMBH,"Sackmatt 10a, 6242 Wauwil, Switzerland",SENTINEL-5 CAS ACTIVITY,"70,000.00",
13,,NANSEN ENVIRONMENTAL & REMOTE SENSI,"THORMOHLENS GATE 47, 5006 BERGEN, Norway",SENTINEL-1 ADVANCED NOISE REMOVAL APPROACH,"149,778.00",
14,,OCEANDATALAB,"ROUTE DE DEOLEN  870, 29280 LOCMARIA PLOUZANE,France",SENTINEL-1 RADIAL VELOCITIES (RVL) PILOT PROJECT,"200,000.00",
15,,Rayference SPRL,"Avenue Paul Deschanel  247 B3, 1030 Brussels, Belgium",RADIATIVE TRANSFER MODEL FOR PRODUCTS VALIDATION (RTMPV),"1,000,000.00",
16,,RUAG SPACE GMBH,"STACHEGASSE 16, 1120 WIEN, Austria",Sentinel-1 Satellites C/D Units Construction,"1,035,554.00",
17,,RUAG SPACE GMBH,"STACHEGASSE 16, 1120 WIEN, Austria",SENTINEL-3 IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT,"140,000.00",
18,,RUAG SPACE GMBH,"STACHEGASSE 16, 1120 WIEN, Austria",SENTINEL-5 IOMT ACTIVITY,"25,060.00",
19,,SCIENCE AND TECHNOLOGY BV,"Olof Palmestraat 14, 2616 LR DELFT, Netherlands",SENTINEL 5-P PRODUCT ALGORITHM LABORATORY,"1,599,971.00",
20,,SCISYS DEUTSCHLAND GMBH,"BORGMANNSTRASSE 2, 44894 BOCHUM, Germany",ADAPTATION OF FLIGHT DYNAMICS ORBIT INFRASTRUCTURE FOR SENTINEL-C/D,"500,000.00",
21,,SCISYS UK Ltd,"METHUEN PARK, SN14 0GB CHIPPENHAM, United Kingdom",DEVELOPMENT AND MAINTENANCE OF OPERATIONAL SIMULATOR FOR SENTINEL,"300,000.00",
22,,"SENER AEROESPACIAL, S.A.","Avenida de Zugazarte 56, 48930 Getxo, Spain",SENTINEL-5 SWIR SS ACTIVITY,"519,640.00",
23,,SERCO Italia SpA,"VIA SCIADONNA  24/26, 00044 I-00044 FRASCATI, Italy","SENTINELS ROLLING ARCHIVE PRODUCTS USER ACCESS, OPERATIONS, MAINTENANCE ANDEVOLUTIONS","996,613.61",
24,,SIMON FRASER UNIVERSITY,"8888 University Drive 0, V5A 1S6 Vancouver, Canada",SENTINEL-1 DOPPLER CENTROID ESTIMATION ANALYSIS,"75,000.00",
25,,SODERN,"AVENUE DESCARTES 20, 94451 LIMEIL-BREVANNES, France",SENTINEL-3 IN-ORBIT OPERATIONS MAINTENANCE SUPPORT,"84,485.00",
26,,SODERN,"AVENUE DESCARTES 20, 94451 LIMEIL-BREVANNES, France",SENTINEL-5 UV2VIS ACTIVITY,"36,672.00",
27,,"Sorbonne Université, SU","PLACE JUSSIEU 4, 75252 PARIS CEDEX, France",SENTINEL 2  3 FIDUCIAL REFERENCES: MEASUREMENT FOR OCEAN COLOUR,"800,000.00",
28,,SPACETECH GMBH,"SEELBACHSTRASSE 13, 88090 IMMENSTAAD, Germany",SENTINEL-6 A/B - SAW,"18,789.00",
29,,STFC RUTHERFORD APPLETON LABORATORY,"HARWELL CAMPUS, OX11 0QX DIDCOT, United Kingdom",SENTINEL-3 OPTICAL PHASE E1 MANAGEMENT,"151,553.00",
30,,SWEDISH SPACE CORPORATION,"Torggatan  15, 171 04 SOLNA, Sweden",KIRUNA STATION OPERATIONS AND MAINTENANCE SERVICES,"55,743.00",
31,,TAITUS SOFTWARE ITALIA SRL,"Via Frascati 60, 00078 Monte Porzio Catone (RM), Italy",SaVoir licenses & GSA maintenance,"31,350.00",
32,,TELECOM ITALIA S.P.A. O TIM S.P.A.,"Via Gaetano Negri, 1 1, 20123 Milano, Italy",EARTH OBSERVATION ENHANCED SECURITY OPERATIONS SERVICES (ESOS) FOR COPERNICUS,"3,500,000.00",
33,,TELESPAZIO S.P.A.,"VIA TIBURTINA 965, 00156 ROME, Italy",PRISM: COPERNICUS CONTRIBUTING MISSIONS ACCESS SUPPORT FUNCTIONS AND PLATFORM,"12,500,000.00",
34,,TESAT-SPACECOM GMBH & CO.KG,"Gerberstrasse 49, 71522 BACKNANG, Germany",OPTICAL COMMUNICATION PAYLOADS IN-ORBIT MAINTENANCE SUPPORT,"892,794.00",
35,,TESAT-SPACECOM GMBH & CO.KG,"Gerberstrasse 49, 71522 BACKNANG, Germany",Sentinel 2 Satellites C/D Units construction,"20,059.00",
36,,TESAT-SPACECOM GMBH & CO.KG,"Gerberstrasse 49, 71522 BACKNANG, Germany",Sentinel-1 Satellites C/D Units Construction,"20,059.00",
37,,TESAT-SPACECOM GMBH & CO.KG,"Gerberstrasse 49, 71522 BACKNANG, Germany",SENTINEL-6 A/B - XBDA,"31,775.00",
38,,THALES ALENIA SPACE ESPANA,"C / EINSTEIN, 7 (PTM), 28760 E-28760 TRES CANTOS -MADRID, Spain",Sentinel 2 Satellites C/D Units construction,"65,000.00",
39,,THALES ALENIA SPACE ESPANA,"C / EINSTEIN, 7 (PTM), 28760 E-28760 TRES CANTOS -MADRID, Spain",SENTINEL-5 DSE ACTIVITY,"508,000.00",
40,,THALES ALENIA SPACE FRANCE,"AVENUE JEAN-FRANCOIS CHAMPOLLION 26, 31100TOULOUSE, France","SENTINEL-2 PAYLOAD DATA GROUND SEGMENT SYSTEM OPERATIONS, MAINTENANCE ANDEVOLUTION","3,000,000.00",
41,,THALES ALENIA SPACE FRANCE,"AVENUE JEAN-FRANCOIS CHAMPOLLION 26, 31100TOULOUSE, France",Sentinel-3 Satellites C/D Units construction,"1,713,117.00",
42,,THALES ALENIA SPACE ITALIA SPA,"VIA SACCOMURO 24, 00131 ROME, Italy",SENTINEL-1 - IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT,"70,656.00",
43,,THALES ALENIA SPACE ITALIA SPA,"VIA SACCOMURO 24, 00131 ROME, Italy",Sentinel-1 Satellites C/D Units Construction,"2,003,222.00",
44,,THALES ALENIA SPACE ITALIA SPA,"VIA SACCOMURO 24, 00131 ROME, Italy",Sentinel-1 Satellites C/D Units Construction,"48,631.00",
45,,"TNO, Netherlands Organisation for Applied Scientific Research","Anna van Buerenplein 1, 2595 DA The Hague, Netherlands","SENTINEL-5 PHASE B2, C/D, E1 CALIBRATION ENGINEERING.","800,000.00",
46,,"TNO, Netherlands Organisation for Applied Scientific Research","Anna van Buerenplein 1, 2595 DA The Hague, Netherlands",SENTINEL-5 UV1 ACTIVITY,"29,702.00",
47,,T-Systems International GmbH,"HAHNSTRASSE 43 D, 60528 FRANKFURT MAIN, Germany",DATA CIRCULATION DISSEMINATION NETWORK AND SECURITY FOR THE SENTINELS SATELLITES,"7,130,925.01",
48,,VISIOTERRA,"Rue Albert Einstein 14, 77420 Champs-sur-Marne, France",SENTINEL VISION SERVICE,"95,596.00",
49,,VITO VL.INST.TECHN.ONDERZOEK,"BOERETANG 200, 2400 MOL, Belgium",COPERNICUS SPACE COMPONENT DATA ACCESS (CSC DA)  DATA WAREHOUSE,"329,165.00",
